@id,@lon,@lat,name,opening_hours,website,addr:street
2021727482,2.3189961,48.8177988,Bonobo,Mo-Sa 10:00-19:00,,
2036561909,2.3024208,48.8695994,Givenchy,,,
2036561924,2.3013462,48.8702955,Hermès,,,Avenue George V
2038272197,2.2411683,48.8379911,Le Marchand d'Étoile,,,
2039657538,2.3005258,48.8716418,Louis Vuitton,,,Avenue des Champs-Élysées
2039668071,2.3012493,48.8707056,Philipp Plein,,,Avenue George V
2039668081,2.3042642,48.8688989,Bruce Field Homme,,,Rue Marbeuf
2039898589,2.3035328,48.8707032,Tara Jarmon,,,
2039904971,2.3041764,48.8704916,Citadium,Mo-Sa 10:00-20:00,,
2039904978,2.3039833,48.8705604,Nike,,https://www.nike.com/,
2046134309,2.3817476,48.7990816,Okaïdi,,,
2046134310,2.3815649,48.7992903,Miss Coquines,,,
2052942061,2.3190998,48.8174589,Smile,Mo-Sa 10:00-19:30,,
2068093388,2.4375218,48.8472295,The Kooples,Mo 11:00-19:00; Tu-Fr 10:30-19:30; Sa 10:30-20:00,,
2074923960,2.3730317,48.8808759,Euroline Mode,,,
2076413198,2.3245942,48.8178393,Degrif des Stocks,,,
2084076554,2.3608864,48.8155172,Surplus Américain Nr 94,,,Avenue de Fontainebleau
2086124422,2.2211561,48.7810243,Hollister,,,
2093316961,2.3020135,48.7848888,Good Shop,,,
2093331610,2.3023569,48.7851079,Domsport,Tu-Fr 09:30-12:30 14:30-19:30; Sa 09:30-13:00 14:00-19:30,,
2103216542,2.3430109,48.8726432,,,,
2122702499,2.3065790,48.8271972,Du Pareil au Même,,,
2137619618,2.3929516,48.7910313,,,,
2137628240,2.3950614,48.7913621,,,,
